Simulation,SimulatedNNDISLoss
1,846.4026162
2,1581.477596
3,2528.585535
4,1412.355649
5,995.3535292
6,4442.255051
7,0
8,0
9,2092.713113
10,0
11,1759.52219
12,0
13,0
14,358.3353204
15,3373.88512
16,2705.107973
17,2641.415593
18,0
19,0
20,352.4527926
21,2540.907663
22,5155.953586
23,323.0687225
24,0
25,2791.473812
26,1355.305377
27,130.5718364
28,2179.474925
29,4040.00568
30,2866.139911
31,1120.74798
32,1742.082723
33,539.8204143
34,0
35,0
36,2918.508509
37,0
38,0
39,6523.988671
40,0
41,1072.971041
42,0
43,1355.877067
44,855.0366063
45,2385.693253
46,2388.775668
47,4148.850201
48,3665.729489
49,2342.763337
50,0
51,4052.548929
52,0
53,0
54,1907.898089
55,0
56,0
57,0
58,617.945455
59,0
60,1009.879107
61,0
62,0
63,0
64,946.6314293
65,0
66,0
67,780.1265723
68,1373.547894
69,1948.935535
70,1933.011702
71,824.0696614
72,820.5167218
73,0
74,0
75,0
76,0
77,2642.725712
78,850.9498782
79,751.2410519
80,0
81,1361.106963
82,1852.226241
83,0
84,0
85,0
86,2471.985116
87,407.7725997
88,1646.471132
89,1302.235848
90,3982.660033
91,0
92,210.7398383
93,2169.481814
94,1637.892943
95,0
96,0
97,0
98,0
99,0
100,1087.424442
101,2529.561636
102,0
103,0
104,0
105,2353.163555
106,0
107,1100.158779
108,0
109,1416.243767
110,4195.502361
111,4057.002374
112,648.2780071
113,0
114,0
115,2813.104256
116,2793.04262
117,0
118,1800.632122
119,3868.323387
120,3389.367938
121,0
122,0
123,2410.169675
124,0
125,1423.76644
126,0
127,0
128,49.16639676
129,1456.590564
130,235.7802577
131,1401.088573
132,2414.257024
133,0
134,384.4701206
135,2518.323007
136,1779.014819
137,0
138,0
139,861.9113543
140,2422.180803
141,0
142,509.548638
143,1053.056378
144,577.665925
145,0
146,0
147,0
148,0
149,1268.425668
150,7721.775459
151,2111.579429
152,5492.753149
153,107.0546458
154,0
155,342.4799775
156,770.5403949
157,7835.06281
158,1966.342236
159,0
160,955.8220323
161,0
162,0
163,0
164,0
165,0
166,0
167,11.47641485
168,4014.470957
169,0
170,0
171,713.8730176
172,698.1579084
173,2039.706846
174,0
175,0
176,140.9670228
177,3401.849799
178,0
179,1708.412113
180,3055.388391
181,571.4852339
182,4927.662688
183,2616.712752
184,751.858479
185,620.8575087
186,0
187,2213.54896
188,1123.290623
189,0
190,679.2263431
191,934.4687802
192,173.4907221
193,1780.428453
194,0
195,2515.312855
196,4083.845487
197,0
198,1425.57461
199,432.3387692
200,0
201,435.7131204
202,121.1132188
203,1169.311184
204,2618.822489
205,0
206,0
207,0
208,0
209,0
210,5659.056009
211,6650.108291
212,1150.093743
213,2383.408822
214,0
215,2684.44207
216,1817.093537
217,1767.855264
218,1687.983318
219,0
220,1898.108846
221,632.2178312
222,2978.898286
223,830.5321931
224,2917.286092
225,0
226,794.6554102
227,0
228,1760.986297
229,1300.292068
230,1428.105124
231,6151.701019
232,0
233,0
234,333.2568677
235,5387.038152
236,0
237,3413.3773
238,77.04179035
239,1598.04747
240,6185.631364
241,0
242,3844.961214
243,237.8767043
244,179.4009077
245,2703.329594
246,695.9786
247,1611.857592
248,2618.957321
249,1367.935909
250,1348.030501
251,0
252,1480.016665
253,2624.956837
254,4373.871234
255,1373.17047
256,0
257,0
258,5596.025944
259,101.2055406
260,0
261,2457.986198
262,1570.253531
263,421.793276
264,0
265,0
266,803.66273
267,2369.343857
268,0
269,0
270,719.8984861
271,655.7844821
272,0
