Region,Year,Population
Sindh,1973,14272073.42
Sindh,1974,14686663.4
Sindh,1975,15127966.45
Sindh,1976,15597042.44
Sindh,1977,16093478.95
Sindh,1978,16618147.65
Sindh,1979,17171561.27
Sindh,1980,17753580.63
Sindh,1981,18363709.65
Sindh,1982,19000405.9
Sindh,1983,19660862.66
Sindh,1984,20341420.64
Sindh,1985,21038452.74
Sindh,1986,21752064.62
Sindh,1987,22480030.41
Sindh,1988,23213694.9
Sindh,1989,23942163.66
Sindh,1990,24658101.04
Sindh,1991,25354687
Sindh,1992,26034376.88
Sindh,1993,26710339.11
Sindh,1994,27401579.75
Sindh,1995,28120439.94
Sindh,1996,28873810.77
Sindh,1997,29653743.73
Sindh,1998,30439893
Sindh,1999,31203692.78
Sindh,2000,31925432.28
Sindh,2001,32596886.22
Sindh,2002,33226508.05
Sindh,2003,33831644.45
Sindh,2004,34437919.52
Sindh,2005,35063860.76
Sindh,2006,35715185.29
Sindh,2007,36386077.21
Sindh,2008,37069669.65
Sindh,2009,37754629.83
Sindh,2010,38432795.94
Sindh,2011,39102469.73
Sindh,2012,39766974.21
Sindh,2013,40535300.14
Sindh,2014,41566038.64
Sindh,2015,42622986.93
Sindh,2016,43706811.48
Sindh,2017,44818195.71
KPK,1973,8319300.079
KPK,1974,8560967.73
KPK,1975,8818206.63
KPK,1976,9091634.588
KPK,1977,9381011.207
KPK,1978,9686844.579
KPK,1979,10009433.58
KPK,1980,10348697.09
KPK,1981,10704345.93
KPK,1982,11075481.02
KPK,1983,11460466.29
KPK,1984,11857168.71
KPK,1985,12263474.01
KPK,1986,12679443.8
KPK,1987,13103780.6
KPK,1988,13531439.2
KPK,1989,13956069.18
KPK,1990,14373394.52
KPK,1991,14779439.77
KPK,1992,15175636.17
KPK,1993,15569659.69
KPK,1994,15972589.11
KPK,1995,16391618.18
KPK,1996,16830763.77
KPK,1997,17285392.62
KPK,1998,17743645
KPK,1999,18188869.7
KPK,2000,18609577.14
KPK,2001,19000972.74
KPK,2002,19367984.1
KPK,2003,19720722.7
KPK,2004,20074125.05
KPK,2005,20438990.96
KPK,2006,20818652.97
KPK,2007,21209720.97
KPK,2008,21608192.2
KPK,2009,22007460.7
KPK,2010,22402768.88
KPK,2011,22793126.82
KPK,2012,23180471.53
KPK,2013,23628334.56
KPK,2014,24229159.86
KPK,2015,24845263.05
KPK,2016,25477032.62
KPK,2017,26124866.94
Punjab,1973,34518138.96
Punjab,1974,35520857.63
Punjab,1975,36588183.97
Punjab,1976,37722681.36
Punjab,1977,38923352.36
Punjab,1978,40192305.13
Punjab,1979,41530779.75
Punjab,1980,42938439.63
Punjab,1981,44414084.94
Punjab,1982,45953985.22
Punjab,1983,47551352.16
Punjab,1984,49197335.49
Punjab,1985,50883162.78
Punjab,1986,52609089.56
Punjab,1987,54369732.45
